 duration: 91.514s, episode steps: 1295, episode reward: 310.000
 duration: 47.876s, episode steps: 675, episode reward: 55.000
 duration: 47.270s, episode steps: 650, episode reward: 15.000
 duration: 46.229s, episode steps: 644, episode reward: 35.000
 duration: 66.437s, episode steps: 941, episode reward: 140.000
 duration: 109.548s, episode steps: 1572, episode reward: 260.000
 duration: 59.377s, episode steps: 841, episode reward: 180.000
 duration: 92.932s, episode steps: 1313, episode reward: 215.000
 duration: 88.668s, episode steps: 1251, episode reward: 290.000
 duration: 49.724s, episode steps: 712, episode reward: 255.000
 duration: 44.964s, episode steps: 637, episode reward: 125.000
 duration: 59.166s, episode steps: 833, episode reward: 200.000
 duration: 36.522s, episode steps: 515, episode reward: 110.000
 duration: 100.312s, episode steps: 1439, episode reward: 575.000
 duration: 89.823s, episode steps: 1295, episode reward: 290.000
 duration: 45.156s, episode steps: 641, episode reward: 135.000
 duration: 107.418s, episode steps: 1546, episode reward: 250.000
 duration: 46.107s, episode steps: 654, episode reward: 215.000
 duration: 88.377s, episode steps: 1252, episode reward: 210.000
 duration: 58.044s, episode steps: 830, episode reward: 65.000
 duration: 85.014s, episode steps: 1216, episode reward: 255.000
 duration: 77.315s, episode steps: 1120, episode reward: 230.000
 duration: 34.184s, episode steps: 489, episode reward: 145.000
 duration: 31.559s, episode steps: 442, episode reward: 105.000
 duration: 56.627s, episode steps: 797, episode reward: 155.000
 duration: 49.165s, episode steps: 703, episode reward: 195.000
 duration: 72.655s, episode steps: 1039, episode reward: 310.000
 duration: 72.424s, episode steps: 1038, episode reward: 555.000
 duration: 76.360s, episode steps: 1103, episode reward: 305.000
 duration: 60.477s, episode steps: 868, episode reward: 410.000
 duration: 78.236s, episode steps: 1123, episode reward: 305.000
 duration: 68.081s, episode steps: 977, episode reward: 440.000
 duration: 69.193s, episode steps: 998, episode reward: 225.000
 duration: 45.591s, episode steps: 660, episode reward: 105.000
 duration: 59.593s, episode steps: 853, episode reward: 210.000
 duration: 54.097s, episode steps: 786, episode reward: 135.000
 duration: 61.459s, episode steps: 883, episode reward: 180.000
 duration: 56.719s, episode steps: 818, episode reward: 155.000
 duration: 57.279s, episode steps: 833, episode reward: 210.000
 duration: 55.176s, episode steps: 798, episode reward: 180.000
 duration: 56.779s, episode steps: 817, episode reward: 180.000
 duration: 44.969s, episode steps: 646, episode reward: 110.000
 duration: 62.872s, episode steps: 898, episode reward: 155.000
 duration: 65.239s, episode steps: 938, episode reward: 220.000
 duration: 49.669s, episode steps: 715, episode reward: 145.000
